object_id,mission,proba_planet,confidence_pct,category,nasa_category,label_text,period,t0,duration,depth,rp,teq,insolation,stellar_teff,stellar_logg,stellar_radius,ra,dec
307716123,tess,0.0003925535511660733,0.04,non-planet,candidate,PC,3.7634028,2458441.155609,2.5259027,140.4352916,2.4144238,1728.4676115,2109.4342142,6491.0,4.00559,1.89742,127.832228,-68.0239
33716474,tess,0.00040293417191483347,0.04,non-planet,candidate,PC,8.9356558,2458330.062409,1.9539147,420.5298106,2.0224563,789.8093802,91.9623692,5631.0,4.57723,0.851957,60.961895,-76.021457
418255064,tess,0.0011153935729293863,0.11,non-planet,candidate,PC,743.4843888,2458629.331333,3.8041623,5535.4604085,5.4510788,360.5530878,3.9939064,5342.0,4.71456,0.697666,196.653058,-80.617002
400786146,tess,0.009477050522462083,0.95,non-planet,non-planet,FP,22.1536777,2459323.079936,7.5893785,4469.3198771,12.6297905,855.3874599,126.5238849,6123.0,4.07991,1.6267,167.000935,-67.149824
381897917,tess,0.0020125657967245197,0.2,non-planet,candidate,PC,692.5150646,2458676.610066,2.6383141,1810.2811624,2.2782015,165.7679643,0.1784528,3614.0,4.71017,0.531248,270.107996,-48.474637
269728501,tess,0.0020369787215554686,0.2,non-planet,candidate,PC,2.0844882,2459036.380129,1.5541575,609.0046533,1.881105,983.115793,220.7698145,4443.39,4.57662,0.713304,56.769865,-79.334322
307849973,tess,0.0012883798176075547,0.13,non-planet,candidate,PC,0.8409429,2458543.862361,1.1780506,549.3465906,1.6732084,1088.3303343,331.5613798,3830.0,4.64404,0.608498,128.506585,-66.768549
307849973,tess,0.0012883798176075547,0.13,non-planet,candidate,PC,23.5422422,2458548.589493,3.2390849,1411.9717256,2.3109407,358.4266471,3.9005169,3830.0,4.64404,0.608498,128.506585,-66.768549
307849973,tess,0.00030335254854623855,0.03,non-planet,candidate,PC,0.8409429,2458543.862361,1.1780506,549.3465906,1.6732084,1088.3303343,331.5613798,3830.0,4.64404,0.608498,128.506585,-66.768549
307849973,tess,0.00030335254854623855,0.03,non-planet,candidate,PC,23.5422422,2458548.589493,3.2390849,1411.9717256,2.3109407,358.4266471,3.9005169,3830.0,4.64404,0.608498,128.506585,-66.768549
447088034,tess,0.006782107485078701,0.68,non-planet,candidate,PC,14.0063765,2460121.465283,1.971,300.0,2.26316,583.0,19.2603,5899.0,4.22221,1.33,238.702259,-65.901121
149126400,tess,0.002144396607116705,0.21,non-planet,non-planet,FP,1.2253159,2459036.84286,3.435758,6006.5175069,2.3820012,743.1116558,72.0671413,3725.0,4.92832,0.297644,81.028116,-63.028858
